ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
68,,Text Justification,27.7%,Hard,0.3109794136214826, https://leetcode.com/problems/text-justification
811,,Subdomain Visit Count,69.9%,Easy,0.225530019773288, https://leetcode.com/problems/subdomain-visit-count
79,,Word Search,35.6%,Medium,0.1400806259250934, https://leetcode.com/problems/word-search
729,,My Calendar I,51.8%,Medium,0.1383897017755989, https://leetcode.com/problems/my-calendar-i
409,,Longest Palindrome,50.3%,Easy,0.095939308481886, https://leetcode.com/problems/longest-palindrome
759,,Employee Free Time,66.3%,Hard,0.0486122440550937, https://leetcode.com/problems/employee-free-time
210,,Course Schedule II,40.7%,Medium,0.0231338803154644, https://leetcode.com/problems/course-schedule-ii
146,,LRU Cache,33.2%,Medium,0.0182757799387368, https://leetcode.com/problems/lru-cache
287,,Find the Duplicate Number,55.5%,Medium,0.0055013204348376, https://leetcode.com/problems/find-the-duplicate-number
20,,Valid Parentheses,39.0%,Easy,0.0051688605776653, https://leetcode.com/problems/valid-parentheses
207,,Course Schedule,43.1%,Medium,0.0049640211142117, https://leetcode.com/problems/course-schedule
49,,Group Anagrams,56.9%,Medium,0.003804093983556, https://leetcode.com/problems/group-anagrams
1,,Two Sum,45.6%,Easy,0.0008206138651873, https://leetcode.com/problems/two-sum
